Internal Event Code,Event Name,Duration,Location Name,Building Code,Start Time
13,Hovercraft,105,Khan,-1,7:00 - 8:45 AM
16,Mission Possible,60,Armory,-1,7:00 - 8:00 AM
17,Mousetrap Vehicle,60,Huff Gym,-1,7:00 - 8:00 AM
21,Thermodynamics,60,3026 Chem Annex,-1,7:00 - 8:00 AM
25,Detector Building,60,1049 BIF,-1,8:15 - 9:15 AM
28,Wifi Lab,60,3009 BIF,-1,8:15 - 9:15 AM
30,Battery Buggy,60,Huff Gym,-1,7:00 - 8:00 AM
38,Hovercraft,105,Armory,-1,7:00 - 8:45 AM
46,Roller Coaster,60,Huff Gym,-1,7:00 - 8:00 AM
48,Thermodynamics,60,006 Chem Annex,-1,7:00 - 8:00 AM
55,Rotor Egg Drop,60,Armory,-1,8:15 - 9:15 AM
