Internal Number,Name,Division,Trial?,Time block?,Self-Scheduled?,Impounded?
1,Anatomy & Physiology,BSLC 206,,y,,
2,Astronomy,Harper 140,,y,,
3,Boomilever,TBD,,,y,
4,Chemistry Lab,BSLC 354,,y,,
5,Circuit Lab,KPTC 101,,y,,
6,Codebusters,Harper 141,,y,,
7,Designer Genes,KPTC 309,,y,,
8,Disease Detectives,Harper 140,,y,,
9,Dynamic Planet,Harper 150,,y,,
10,Experimental Design,GCIS W301/303,,n,y,
11,Fermi Questions,Harper 145,,y,,
12,Forensics,BSLC 236,,y,,
13,Fossils ,Hinds 176,,y,,
14,Geologic Mapping,Harper 135,,y,,
15,Herpetology,BSLC 350,,y,,
16,Mission Possible,TBD,,,y,y
17,Mousetrap Vehicle,TBD,,,y,y
18,Protein Modeling,CSIL (Room 2),,y,,y
19,Sounds of Music,Hinds 180/184,,y,,
20,Thermodynamics,BSLC 442,,y,,y
21,Water Quality,BSLC 228,,y,,
22,Wright Stuff,TBD,,,y,
23,Write It Do It,ERC 201B/247,,y,,
24,Ornithology,ERC 301B,y,,y,
