Name of Scheduled Event,Division,Time (range),Date,Location name,Building Code
Recommended Arrival Time,C,6:30 - 7:00 AM,January 12 2019,Quad/Midway Plaisance,-1
Team Registration,C,6:30 - 7:30 AM,January 12 2019,Stuart 104,-1
Coaches' Meeting,C,7:30 - 8:00 AM,January 12 2019,Stuart 104,-1
Competitive Events,C,8:00 AM - 1:50 PM,January 12 2019,UChicago Campus,-1
Clean homerooms and load buses,C,1:30 - 2:30 PM,January 12 2019,Your homeroom,-1
Free Time!,C,2:30 - 3:30 PM,January 12 2019,Explore camps; see Hyde Park; visit bookstore,-1
Arrive and seat in Mandel,C,3:30 - 4:00 PM,January 12 2019,Mandel Hall,-1
Student org performances,C,4:00 - 5:00 PM,January 12 2019,Mandel Hall,-1
Award Ceremony,C,5:00 - 6:30 PM,January 12 2019,Mandel Hall,-1
Collect test packet,C,6:30 - 7:00 PM,January 12 2019,Mandel Hall,-1
Recommended Arrival Time,B,6:30 - 7:00 AM,February 23 2019,Quad/Midway Plaisance,-1
Team Registration,B,6:30 - 7:30 AM,February 23 2019,GCIS 400A/B,-1
Coaches Meeting and Breakfast,B,7:30 - 8:00 AM,February 23 2019,GCIS 400A/B,-1
Impound,B,8:15 - 8:45 AM,February 23 2019,Event Rooms,-1
Competitive Events,B,8:00 AM - 1:50 PM,February 23 2019,Event Rooms,-1
"Clean homerooms, load buses",B,1:30 - 2:15 PM,February 23 2019,Homerooms,-1
Free time!,B,2:00 - 2:30 PM,February 23 2019,Explore camps; see Hyde Park; visit bookstore,-1
Arrive and seat in Max P Theater,B,2:30 - 3:00 PM,February 23 2019,Max P Cinema in Ida Noyes,-1
Performances by RSOs (Recognized Student Organizations),B,3:00 - 4:00 PM,February 23 2019,Max P Cinema in Ida Noyes,-1
Awards Ceremony,B,4:00 - 5:30 PM,February 23 2019,Max P Cinema in Ida Noyes,-1
Collect Test Packets!,B,5:30 - 5:45 PM,February 23 2019,Max P Cinema in Ida Noyes,-1
